Fixed Carbon (FC),Volatile Matter (VC),ASH (MM),Air Feeding (Nm^3/Kg),Steam Feeding (kg/kg),Temperature (C),Heat Value (MJ/m^3)
26.89,33.2,39.91,1.93,0.35,904,4.14
26.89,33.2,39.91,1.98,0.35,910,4.7
26.89,33.2,39.91,2.09,0.44,888,3.96
26.89,33.2,39.91,2.1,0.37,907,4.42
27.31,49.56,23.14,2.41,0.43,912,4.23
27.31,49.56,23.14,2.37,0.43,865,4.52
27.31,49.56,23.14,2.39,0.43,889,4.69
28.73,21.29,49.98,1.34,0.25,850,5.16
29.75,25.05,45.21,1.7,0.34,800,4.7
29.75,25.05,45.21,1.7,0.34,800,4.77
29.75,25.05,45.21,1.66,0.34,750,4.6
29.75,25.05,45.21,1.67,0.34,750,4.67
29.75,25.05,45.21,1.67,0.31,850,4.82
29.75,25.05,45.21,1.67,0.3,950,4.48
29.75,25.05,45.21,1.66,0.3,950,4.41
29.75,25.05,45.21,1.67,0.32,810,4.76
29.75,25.05,45.21,1.68,0.32,850,4.7
29.75,25.05,45.21,1.63,0.29,900,4.37
29.75,25.05,45.21,1.66,0.29,900,4.45
29.75,25.05,45.21,1.67,0.37,725,4.51
29.75,25.05,45.21,1.67,0.28,860,4.75
29.75,25.05,45.21,1.68,0.28,850,4.68
29.75,25.05,45.21,1.68,0.37,850,4.44
29.75,25.05,45.21,1.67,0.3,825,4.83
33.11,47.58,19.29,2.19,0.1,750,2.7
33.11,47.58,19.29,2.23,0.1,780,3.3
33.11,47.58,19.29,2.35,0.1,810,3.3
33.11,47.58,19.29,2.57,0.1,810,2.6
33.11,47.58,19.29,2.84,0.1,850,2.8
33.11,47.58,19.29,2.98,0.1,840,2.9
33.11,47.58,19.29,3.65,0.1,880,2
33.11,47.58,19.29,3.81,0.1,870,2.1
37.22,25.76,37.02,1.5,0.28,800,4.67
37.22,25.76,37.02,1.55,0.28,800,4.85
37.22,25.76,37.02,1.6,0.29,800,4.86
37.22,25.76,37.02,1.7,0.3,800,4.6
37.22,25.76,37.02,1.68,0.3,800,4.76
38.29,27.92,33.79,1.71,0.29,800,4.4
38.29,27.92,33.79,1.8,0.33,825,5.11
38.29,27.92,33.79,1.72,0.33,780,4.81
38.29,27.92,33.79,1.86,0.35,720,5.23
38.29,27.92,33.79,2.03,0.34,725,5.05
38.29,27.92,33.79,1.81,0.34,765,5.21
38.29,27.92,33.79,2.15,0.4,725,5.34
38.29,27.92,33.79,1.57,0.34,740,5.37
40.61,31.59,27.8,1.86,0.35,750,5.44
40.61,31.59,27.8,1.82,0.34,750,5.5
40.61,31.59,27.8,1.92,0.35,775,5.21
40.61,31.59,27.8,1.96,0.32,725,5.38
44.75,24.04,31.2,1.73,0.32,950,4.18
44.75,24.04,31.2,1.75,0.3,980,4.2
44.75,24.04,31.2,1.72,0.32,950,4.44
44.75,24.04,31.2,1.77,0.45,940,4.74
44.92,31.37,23.71,1.91,0.34,850,5.44
48.47,25.78,25.73,2.66,0.38,900,3.28
49.88,41.06,9.05,2.36,0.42,850,3.57
49.88,41.06,9.05,3.77,0.42,850,3.62
49.88,41.06,9.05,4.14,0.42,850,2.31
53.6,33.91,12.47,1.42,0.3,850,5.47
53.6,33.91,12.47,1.7,0.3,850,4.57
53.6,33.91,12.47,2.4,0.3,850,4.57
53.6,33.91,12.47,2.26,0.3,850,3.55
53.6,33.91,12.47,2.61,0.3,850,3.31
53.6,33.91,12.47,2.75,0.3,850,4.05
53.6,33.91,12.47,3.26,0.3,850,3.83
53.6,33.91,12.47,2.32,0.29,900,2.96
54.89,31.02,15.08,2.66,0.38,900,2.9
54.89,31.02,15.08,3.15,0.29,900,3.05
54.89,31.02,15.08,3.35,0.3,900,2.72
54.89,31.02,15.08,3.35,0.36,900,2.82
54.89,31.02,15.08,3.35,0.38,900,2.88
54.89,31.02,15.08,4.1,0.29,900,2.86
54.89,31.02,15.08,3.35,0.49,900,2.84
60.45,37.99,11.04,4.56,0.63,850,2.21
60.45,37.99,11.04,5.84,0.63,850,1.42
60.45,37.99,11.04,5.36,0.63,850,1.52
61,25.1,13.9,3.27,0.48,850,3.52
61,25.1,13.9,3.1,0.48,850,3.62
61,25.1,13.9,3.51,0.48,850,3.44
61,25.1,13.9,3.47,0.48,850,3.1
61,25.1,13.9,3.88,0.48,850,3.16
25.83,36.48,37.69,1.65,0.29,890,4.1
25.83,36.48,37.69,1.76,0.24,902,3.93
25.83,36.48,37.69,1.91,0.22,912,4.37
25.83,36.48,37.69,2.32,0.55,865,2.72
25.83,36.48,37.69,2.35,0.53,932,3.32
25.83,36.48,37.69,2.06,0.48,868,3.23
25.83,36.48,37.69,1.91,0.35,860,3.85
25.83,36.48,37.69,2.11,0.3,901,4.13
25.83,36.48,37.69,2.09,0.33,882,3.83
25.83,36.48,37.69,2.32,0.48,899,3.44
25.83,36.48,37.69,2.11,0.3,896,3.98
25.83,36.48,37.69,2.04,0.49,874,3.65
25.83,36.48,37.69,2.39,0.32,890,3.27
25.83,36.48,37.69,2.25,0.54,935,2.75
25.83,36.48,37.69,2.3,0.51,958,3.06
25.83,36.48,37.69,2.3,0.49,930,3.58
25.83,36.48,37.69,2.52,0.33,875,3.18
25.83,36.48,37.69,2.28,0.49,937,3.66
25.83,36.48,37.69,2.3,0.38,919,3.51
25.83,36.48,37.69,2.28,0.49,941,3.4
25.83,36.48,37.69,2.48,0.37,900,3.78
25.83,36.48,37.69,2.3,0.49,922,3.72
25.83,36.48,37.69,2.54,0.46,935,2.97
25.83,36.48,37.69,2.52,0.35,970,3.24
25.83,36.48,37.69,2.44,0.49,955,2.79
